Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","5000","World","5123","Losses","2517","Millet and products","2013","2013","1000 tonnes","2277","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5131","Processing","2517","Millet and products","2013","2013","1000 tonnes","402","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5154","Other uses","2517","Millet and products","2013","2013","1000 tonnes","196","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2517","Millet and products","2013","2013","1000 tonnes","23044","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2517","Millet and products","2013","2013","kg","3.29","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2517","Millet and products","2013","2013","kcal/capita/day","27","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","674","Protein supply quantity (g/capita/day)","2517","Millet and products","2013","2013","g/capita/day","0.71","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","684","Fat supply quantity (g/capita/day)","2517","Millet and products","2013","2013","g/capita/day","0.28","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5511","Production","2518","Sorghum and products","2013","2013","1000 tonnes","62118","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5611","Import Quantity","2518","Sorghum and products","2013","2013","1000 tonnes","6425","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5072","Stock Variation","2518","Sorghum and products","2013","2013","1000 tonnes","-3913","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5911","Export Quantity","2518","Sorghum and products","2013","2013","1000 tonnes","6391","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5301","Domestic supply quantity","2518","Sorghum and products","2013","2013","1000 tonnes","58238","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5521","Feed","2518","Sorghum and products","2013","2013","1000 tonnes","24808","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2518","Sorghum and products","2013","2013","1000 tonnes","791","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2518","Sorghum and products","2013","2013","1000 tonnes","2744","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5131","Processing","2518","Sorghum and products","2013","2013","1000 tonnes","3694","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5154","Other uses","2518","Sorghum and products","2013","2013","1000 tonnes","2049","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2518","Sorghum and products","2013","2013","1000 tonnes","24151","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2518","Sorghum and products","2013","2013","kg","3.45","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2518","Sorghum and products","2013","2013","kcal/capita/day","28","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","674","Protein supply quantity (g/capita/day)","2518","Sorghum and products","2013","2013","g/capita/day","0.84","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","684","Fat supply quantity (g/capita/day)","2518","Sorghum and products","2013","2013","g/capita/day","0.28","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5511","Production","2520","Cereals, Other","2013","2013","1000 tonnes","28415","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5611","Import Quantity","2520","Cereals, Other","2013","2013","1000 tonnes","2885","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5072","Stock Variation","2520","Cereals, Other","2013","2013","1000 tonnes","-1267","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5911","Export Quantity","2520","Cereals, Other","2013","2013","1000 tonnes","2544","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5301","Domestic supply quantity","2520","Cereals, Other","2013","2013","1000 tonnes","27489","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5521","Feed","2520","Cereals, Other","2013","2013","1000 tonnes","19043","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2520","Cereals, Other","2013","2013","1000 tonnes","1205","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2520","Cereals, Other","2013","2013","1000 tonnes","785","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5131","Processing","2520","Cereals, Other","2013","2013","1000 tonnes","160","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5154","Other uses","2520","Cereals, Other","2013","2013","1000 tonnes","1387","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2520","Cereals, Other","2013","2013","1000 tonnes","5326","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2520","Cereals, Other","2013","2013","kg","0.76","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2520","Cereals, Other","2013","2013","kcal/capita/day","6","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","674","Protein supply quantity (g/capita/day)","2520","Cereals, Other","2013","2013","g/capita/day","0.18","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","684","Fat supply quantity (g/capita/day)","2520","Cereals, Other","2013","2013","g/capita/day","0.02","Fc","Calculated data"
