,ctry_cd,country,item_cd,item,origin,population,Food supply (kcal/ctry/y)
2711,46,Congo,2575,Cottonseed Oil,vegetal,4448000,6494080000.0
2712,46,Congo,2576,Palmkernel Oil,vegetal,4448000,0.0
2713,46,Congo,2577,Palm Oil,vegetal,4448000,306845280000.0
2714,46,Congo,2580,Olive Oil,vegetal,4448000,1623520000.0
2715,46,Congo,2582,Maize Germ Oil,vegetal,4448000,3247040000.0
2716,46,Congo,2586,"Oilcrops Oil, Other",vegetal,4448000,22729280000.0
2717,46,Congo,2601,Tomatoes and products,vegetal,4448000,4870560000.0
2718,46,Congo,2602,Onions,vegetal,4448000,3247040000.0
2719,46,Congo,2605,"Vegetables, Other",vegetal,4448000,60070240000.0
2720,46,Congo,2611,"Oranges, Mandarines",vegetal,4448000,3247040000.0
2721,46,Congo,2612,"Lemons, Limes and products",vegetal,4448000,1623520000.0
2722,46,Congo,2613,Grapefruit and products,vegetal,4448000,0.0
2723,46,Congo,2614,"Citrus, Other",vegetal,4448000,0.0
2724,46,Congo,2615,Bananas,vegetal,4448000,56823200000.0
2725,46,Congo,2616,Plantains,vegetal,4448000,68187840000.0
2726,46,Congo,2617,Apples and products,vegetal,4448000,1623520000.0
2727,46,Congo,2618,Pineapples and products,vegetal,4448000,1623520000.0
2728,46,Congo,2619,Dates,vegetal,4448000,0.0
2729,46,Congo,2620,Grapes and products (excl wine),vegetal,4448000,1623520000.0
2730,46,Congo,2625,"Fruits, Other",vegetal,4448000,42211520000.0
2731,46,Congo,2630,Coffee and products,vegetal,4448000,0.0
2732,46,Congo,2633,Cocoa Beans and products,vegetal,4448000,3247040000.0
2733,46,Congo,2635,Tea (including mate),vegetal,4448000,0.0
2734,46,Congo,2640,Pepper,vegetal,4448000,0.0
2735,46,Congo,2641,Pimento,vegetal,4448000,0.0
2736,46,Congo,2645,"Spices, Other",vegetal,4448000,1623520000.0
2737,46,Congo,2655,Wine,vegetal,4448000,3247040000.0
2738,46,Congo,2656,Beer,vegetal,4448000,73058400000.0
2739,46,Congo,2657,"Beverages, Fermented",vegetal,4448000,0.0
2740,46,Congo,2658,"Beverages, Alcoholic",vegetal,4448000,9741120000.0
2742,46,Congo,2680,Infant food,vegetal,4448000,8117600000.0
2743,46,Congo,2731,Bovine Meat,animal,4448000,29223360000.0
2744,46,Congo,2732,Mutton & Goat Meat,animal,4448000,1623520000.0
2745,46,Congo,2733,Pigmeat,animal,4448000,21105760000.0
2746,46,Congo,2734,Poultry Meat,animal,4448000,71434880000.0
2747,46,Congo,2735,"Meat, Other",animal,4448000,42211520000.0
2748,46,Congo,2736,"Offals, Edible",animal,4448000,12988160000.0
2749,46,Congo,2737,"Fats, Animals, Raw",animal,4448000,3247040000.0
2750,46,Congo,2740,"Butter, Ghee",animal,4448000,1623520000.0
2751,46,Congo,2743,Cream,animal,4448000,0.0
2752,46,Congo,2744,Eggs,animal,4448000,3247040000.0
2753,46,Congo,2745,Honey,vegetal,4448000,0.0
2754,46,Congo,2761,Freshwater Fish,animal,4448000,25976320000.0
2755,46,Congo,2762,Demersal Fish,animal,4448000,19482240000.0
2756,46,Congo,2763,Pelagic Fish,animal,4448000,32470400000.0
2757,46,Congo,2764,"Marine Fish, Other",animal,4448000,3247040000.0
2758,46,Congo,2765,Crustaceans,animal,4448000,0.0
2759,46,Congo,2766,Cephalopods,animal,4448000,0.0
2760,46,Congo,2767,"Molluscs, Other",animal,4448000,0.0
2761,46,Congo,2769,"Aquatic Animals, Others",animal,4448000,0.0
2762,46,Congo,2775,Aquatic Plants,animal,4448000,0.0
2763,46,Congo,2781,"Fish, Body Oil",animal,4448000,0.0
2764,46,Congo,2782,"Fish, Liver Oil",animal,4448000,0.0
2765,46,Congo,2805,Rice (Milled Equivalent),vegetal,4448000,266257280000.0
2766,46,Congo,2848,Milk - Excluding Butter,animal,4448000,32470400000.0
2767,46,Congo,2899,Miscellaneous,vegetal,4448000,3247040000.0
2768,48,Costa Rica,2511,Wheat and products,vegetal,4872000,561936480000.0
2769,48,Costa Rica,2513,Barley and products,vegetal,4872000,39122160000.0
2770,48,Costa Rica,2514,Maize and products,vegetal,4872000,179606280000.0
2771,48,Costa Rica,2515,Rye and products,vegetal,4872000,0.0
2772,48,Costa Rica,2516,Oats,vegetal,4872000,16004520000.0
2775,48,Costa Rica,2520,"Cereals, Other",vegetal,4872000,1778280000.0
2776,48,Costa Rica,2531,Potatoes and products,vegetal,4872000,46235280000.0
2777,48,Costa Rica,2532,Cassava and products,vegetal,4872000,21339360000.0
